2018-03-26 15:43:23,"Check out the latest episode and see that @Wendys &amp; @MoonPie mean business. 

IHeartRadio App|Spotify|iTunes|Google… https://t.co/4Ya4nUAV16"
2018-03-26 15:27:13,RT @sstuart2016: Delta flying Kid-Gun-Control-Marchers to DC for free. And to think they used to be my preferred airline. Between them &amp; do…
2018-03-26 15:17:59,Own your mistakes and most importantly learn from them. #leadership #ceo #UnitedAirlines #mistakes https://t.co/29KWokUQg0
2018-03-26 15:09:40,RT @GantTravel: Just a few more days to enter! Enough said...#ganttravel #unitedairlines #GantAwayWithUA https://t.co/NaX2mMpDu0
2018-03-26 15:08:34,"RT @GantTravel: Have you entered yet? Daily winners and 1 Grand Prize winner! #GantAwayWithUA #GantTravel #UnitedAirlines

https://t.co/vb8…"
2018-03-26 14:52:54,Delta flying Kid-Gun-Control-Marchers to DC for free. And to think they used to be my preferred airline. Between th… https://t.co/OmYCOJoCV9
2018-03-26 14:47:09,"@AmericanAir Bag easily fit in the overhead compartment, still got grief for having wheels and was I should have rc… https://t.co/dEwmpAqHNL"
2018-03-26 14:37:59,@GantTravel @united #GantAwayWithUA #GantTravel #UnitedAirlines Taking me away on my honeymoon. https://t.co/JDKcX80Pip
2018-03-26 14:25:21,Are there any student fare discounts for Students going to orientation?#UnitedAirlines https://t.co/LlgrW5TTch
2018-03-26 14:15:06,Good thing I didn’t bring my dog. #UnitedAirlines #chicago https://t.co/SAHPsSyqz4
2018-03-26 14:11:57,Fun adventures on United @GantTravel #GantTravel @United #UnitedAirlines #GantAwayWithUA https://t.co/df1joXSraw
2018-03-26 14:10:04,RT @PolToons: United Airlines Flight Attendant Kills Dog #UnitedAirlines #DidntHear or DontListen? #BoycottUnited https://t.co/FYHtspvMv1 h…
2018-03-26 14:00:26,Will United Airlines’ new boarding procedure provide customers with better customer experience?… https://t.co/LoTtG0h72g
2018-03-26 13:45:34,RT @greene_lizzy: HEARTBROKEN about the incident aboard #UnitedAirlines Animals are so vulnerable to humans and how we care for them.   I l…
2018-03-26 13:42:28,RT @PolToons: Cone of Shame @Ramireztoons The Captain Has Turned On The No Stupidity Sign #UnitedAirlines #DidntHear or DontListen? https:/…
2018-03-26 13:38:49,"Will United Airlines give out anymore $10,000 vouchers again when you're bumped from a flight?

#overbookedflights… https://t.co/qMP6YklBYW"
2018-03-26 13:33:44,"Well @united is on their Monday morning game today!
Me and the rest of 4345 just got to Houston 20 min early!
That’… https://t.co/lPanrcO7k7"
2018-03-26 12:50:38,"New post (Dog sent overseas by mistake returned to Kansas family) has been published on https://t.co/gzC9VsBNpz 
,… https://t.co/dpJxVCaGDU"
2018-03-26 12:43:47,"@bobbybonesshow I've never been on a plane but I'm guessing by y'alls response to it on air, that's maybe a good de… https://t.co/PhuYtdR1pr"
2018-03-26 12:35:36,RT @PolToons: Cone of Shame @Ramireztoons The Captain Has Turned On The No Stupidity Sign #UnitedAirlines #DidntHear or DontListen? https:/…
2018-03-26 12:09:19,@united I literally could have bought a ticket last minute and paid less than my bag add on #UnitedAirlines… https://t.co/iOhgdtxg1G
